Description,Revenue,UniqueCustomers,Slope,popularity_score
*Boombox Ipod Classic,16.98,1,0.0,0.0
*USB Office Mirror Ball,16.94,1,0.0,0.0
10 COLOUR SPACEBOY PEN,5585.45,180,0.43381925660860593,68399089832.70887
12 COLOURED PARTY BALLOONS,1412.16,106,-0.07558427307843431,-2605793.36065971
12 DAISY PEGS IN WOOD BOX,600.87,47,0.07075433551981314,3749.6417867940704
12 EGG HOUSE PAINTED WOOD,2378.52,40,-1.0385603139318607,-111801.06406679995
12 HANGING EGGS HAND PAINTED,87.36,7,-0.23411255411255422,-39.85530385408004
12 IVORY ROSE PEG PLACE SETTINGS,1478.1,57,0.5541030762796195,187360.2392509886
12 MESSAGE CARDS WITH ENVELOPES,2959.42,151,0.19029260332656722,1002129786.5348395
12 PENCIL SMALL TUBE WOODLAND,3216.12,192,-0.3003726786666984,-85583141225.162
12 PENCILS SMALL TUBE RED RETROSPOT,4387.82,232,0.4469341569083208,7863127303419.339
12 PENCILS SMALL TUBE SKULL,4531.98,196,0.81632938405143,479865696233.3874
12 PENCILS TALL TUBE POSY,1173.8999999999999,136,0.5904116523867812,295250882.43500054
12 PENCILS TALL TUBE RED RETROSPOT,2382.46,186,0.23735630685817047,28279116251.556213
12 PENCILS TALL TUBE SKULLS,1884.9199999999998,159,-0.03520569100137881,-253129485.02366704
12 PENCILS TALL TUBE WOODLAND,1742.27,158,0.20300787686841887,1226514262.679082
12 PINK HEN+CHICKS IN BASKET,104.55,13,3.1875000000000004,1150.4801705440468
12 PINK ROSE PEG PLACE SETTINGS,267.5,17,0.11397058823529392,154.09630455258795
12 RED ROSE PEG PLACE SETTINGS,640.92,48,0.14384429875907281,8944.279561135636
15 PINK FLUFFY CHICKS IN BOX,29.5,7,0.07763157894736844,4.462818569144741
15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,171,0.08113978510082717,10598198450.341845
16 PC CUTLERY SET PANTRY DESIGN,63.8,1,0.0,0.0
16 PIECE CUTLERY SET PANTRY DESIGN,3785.06,44,0.9736335941286436,244200.45315825826
18PC WOODEN CUTLERY SET DISPOSABLE,751.38,24,1.6219452247191009,12003.841661806442
2 DAISIES HAIR COMB,52.559999999999995,2,0.21485337726523884,13.664159145963755
2 PICTURE BOOK EGGS EASTER BUNNY,256.54,19,-0.7119743503206211,-1117.0701744173425
2 PICTURE BOOK EGGS EASTER CHICKS,222.22,18,-0.10295439524124263,-127.20271120503598
2 PICTURE BOOK EGGS EASTER DUCKS,165.89,16,-0.6672857142857145,-508.6452544184945
20 DOLLY PEGS RETROSPOT,3282.3,136,-0.00421354373616404,-5891568.8932816945
200 BENDY SKULL STRAWS,743.62,29,0.04900673400673406,578.0889816914021
200 RED + WHITE BENDY STRAWS,1221.43,91,0.4849085500594934,3461487.549549515
3 BIRDS CANVAS SCREEN,2.04,2,-0.4199999999999999,-1.0367279999999999
3 BLACK CATS W HEARTS BLANK CARD,4.56,3,-0.08142857142857142,-0.49421931428571436
3 DRAWER ANTIQUE WHITE WOOD CABINET,6529.54,130,0.4909581573718447,770861112.7737497
3 GARDENIA MORRIS BOXED CANDLES,940.02,59,0.1721921182266009,44804.20613826377
3 HEARTS HANGING DECORATION RUSTIC,11944.88,197,-1.0694804431453808,-1822693373283.3577
3 HOOK HANGER MAGIC GARDEN,3280.11,67,-0.029255884727946685,-56939.224778535034
3 HOOK PHOTO SHELF ANTIQUE WHITE,13746.11,173,1.9352310359042466,385342728016.9122
3 PIECE SPACEBOY COOKIE CUTTER SET,5481.09,217,-0.07574347417794883,-398496796018.93286
3 PINK HEN+CHICKS IN BASKET,15.0,6,-0.6818181818181818,-18.118237500000006
3 RAFFIA RIBBONS 50'S CHRISTMAS,1892.07,130,0.2403852015507926,109368938.92357282
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,734.7900000000001,41,0.4139678824874357,15143.629529169812
3 ROSE MORRIS BOXED CANDLES,1805.0,110,-0.04150589593779615,-2677826.0774832666
3 STRIPEY MICE FELTCRAFT,5925.389999999999,289,0.42465627772559505,2308024951792291.0
3 TIER CAKE TIN GREEN AND CREAM,7011.57,108,0.9211498639151221,190789980.46435186
3 TIER CAKE TIN RED AND CREAM,9765.11,116,-1.9799590216226959,-1224291460.0083218
3 TIER SWEETHEART GARDEN SHELF,1938.2500000000002,42,0.6112043218552357,64876.73506329215
